_computeFunctionValue	6	TK_FUNID	NOT_NUM	function	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherFunctions	no	function
input	6	TK_INPUT	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	function	no	input_par
parameter	6	TK_PARAMETER	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
list	6	TK_LIST	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
[	6	TK_SQL	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	input_par	no	parameter_list
c3	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
,	6	TK_COMMA	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	remaining_list	no	parameter_list
c4	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
,	6	TK_COMMA	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	remaining_list	no	parameter_list
c5	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
]	6	TK_SQR	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
output	7	TK_OUTPUT	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
0	-1	NOT_TERMINAL	0	function	no	output_par
parameter	7	TK_PARAMETER	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
	-1	TK_LIST	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
	-1	TK_SQL	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
0.000000	-1	NOT_TERMINAL	0.000000	output_par	no	parameter_list
 ¬9%ü	-1	TK_SQR	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
;	28	TK_SEM	NOT_NUM	function	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	typeDefinitions	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	typeDefinitions
____	-1	NOT_TERMINAL	NOT_NUM	function	no	stmts
eps	-1	eps	NOT_NUM	declarations	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	declarations
b5	29	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	assignmentStmt
<---	34	TK_ASSIGNOP	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
b5	34	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
