_unionfunction	4	TK_FUNID	NOT_NUM	function	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherFunctions	no	function
input	4	TK_INPUT	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	function	no	input_par
parameter	4	TK_PARAMETER	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
list	4	TK_LIST	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
[	4	TK_SQL	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
record	4	TK_RECORD	NOT_NUM	constructedDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	constructedDatatype
#two	4	TK_RUID	NOT_NUM	constructedDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	input_par	no	parameter_list
d5cc34	4	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
,	4	TK_COMMA	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
#point	4	TK_RUID	NOT_NUM	constructedDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	constructedDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
-311673578963599360.000000	-1	NOT_TERMINAL	-311673578963599360.000000	remaining_list	no	parameter_list
b5c6	4	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
]	4	TK_SQR	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
output	5	TK_OUTPUT	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
-3722384	-1	NOT_TERMINAL	-3722384	function	no	output_par
parameter	5	TK_PARAMETER	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
list	5	TK_LIST	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
[	5	TK_SQL	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
real	5	TK_REAL	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	output_par	no	parameter_list
d3	5	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
]	5	TK_SQR	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
;	5	TK_SEM	NOT_NUM	function	yes	NOT_NON_TERMINAL
record	7	TK_RECORD	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	actualOrRedefined	no	typeDefinition
#two	7	TK_RUID	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
