_computeFunctionValue	6	TK_FUNID	NOT_NUM	function	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherFunctions	no	function
input	6	TK_INPUT	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	function	no	input_par
parameter	6	TK_PARAMETER	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
list	6	TK_LIST	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
[	6	TK_SQL	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	input_par	no	parameter_list
c3	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
,	6	TK_COMMA	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	remaining_list	no	parameter_list
c4	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
,	6	TK_COMMA	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
int	6	TK_INT	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	remaining_list	no	parameter_list
c5	6	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
]	6	TK_SQR	NOT_NUM	input_par	yes	NOT_NON_TERMINAL
output	7	TK_OUTPUT	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
0	-1	NOT_TERMINAL	0	function	no	output_par
parameter	7	TK_PARAMETER	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
list	7	TK_LIST	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
[	7	TK_SQL	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
real	7	TK_REAL	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	dataType
0.000000	-1	NOT_TERMINAL	0.000000	output_par	no	parameter_list
c6	7	TK_ID	NOT_NUM	parameter_list	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	remaining_list	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	parameter_list	no	remaining_list
]	7	TK_SQR	NOT_NUM	output_par	yes	NOT_NON_TERMINAL
;	7	TK_SEM	NOT_NUM	function	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	typeDefinitions	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	typeDefinitions
____	-1	NOT_TERMINAL	NOT_NUM	function	no	stmts
type	8	TK_TYPE	NOT_NUM	declaration	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	declarations	no	declaration
real	8	TK_REAL	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	dataType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	declaration	no	dataType
:	8	TK_COLON	NOT_NUM	declaration	yes	NOT_NON_TERMINAL
d4cbcd5677	8	TK_ID	NOT_NUM	declaration	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	global_or_not	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	declaration	no	global_or_not
;	8	TK_SEM	NOT_NUM	declaration	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	declarations
type	9	TK_TYPE	NOT_NUM	declaration	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	declarations	no	declaration
